epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.12349,3.52651,0.06,0.12,3.52968,1.176e-05,1.176e-05,1.176e-05
2,1.68025,3.54213,0.06,0.14,3.46679,2.59361e-05,2.59361e-05,2.59361e-05
3,2.13706,3.51315,0.06,0.2,3.40103,3.95301e-05,3.95301e-05,3.95301e-05
4,2.58502,3.46368,0.06,0.24,3.39295,5.25419e-05,5.25419e-05,5.25419e-05
5,2.96507,3.40785,0.08,0.36,3.28854,6.49716e-05,6.49716e-05,6.49716e-05
6,3.33638,3.32643,0.1,0.38,3.24182,7.68193e-05,7.68193e-05,7.68193e-05
7,3.76673,3.23227,0.12,0.44,3.13136,8.80848e-05,8.80848e-05,8.80848e-05
8,4.14057,3.15913,0.22,0.44,3.07568,9.87681e-05,9.87681e-05,9.87681e-05
9,4.51478,3.06649,0.3,0.66,2.93589,0.000108869,0.000108869,0.000108869
10,4.92168,2.93496,0.4,0.7,2.77878,0.000118389,0.000118389,0.000118389
11,5.29629,2.85521,0.46,0.78,2.69915,0.000127326,0.000127326,0.000127326
12,5.67033,2.83045,0.52,0.82,2.57449,0.00013568,0.00013568,0.00013568
13,6.05736,2.7235,0.56,0.82,2.51713,0.000143453,0.000143453,0.000143453
14,6.47722,2.56826,0.66,0.88,2.3646,0.000150644,0.000150644,0.000150644
15,6.87386,2.51182,0.66,0.9,2.25382,0.000157252,0.000157252,0.000157252
16,7.23467,2.36987,0.74,0.9,2.12615,0.000163279,0.000163279,0.000163279
17,7.6311,2.25553,0.78,0.94,1.97778,0.000168723,0.000168723,0.000168723
18,7.98745,2.12345,0.78,0.94,1.94863,0.000173585,0.000173585,0.000173585
19,8.35368,2.04123,0.8,0.96,1.83137,0.000177865,0.000177865,0.000177865
20,8.74507,1.91947,0.82,0.96,1.65785,0.000181563,0.000181563,0.000181563
21,9.10896,1.90129,0.82,0.98,1.53413,0.000177576,0.000177576,0.000177576
22,9.47962,1.77665,0.82,0.98,1.48104,0.000171755,0.000171755,0.000171755
23,9.84776,1.71843,0.84,0.98,1.46874,0.000165934,0.000165934,0.000165934
24,10.2131,1.59415,0.86,0.98,1.30318,0.000160112,0.000160112,0.000160112
25,10.5849,1.49058,0.86,0.98,1.25289,0.000154291,0.000154291,0.000154291
26,10.9503,1.43697,0.84,0.98,1.0834,0.00014847,0.00014847,0.00014847
27,11.2915,1.42604,0.86,0.98,1.11371,0.000142649,0.000142649,0.000142649
28,11.6914,1.31139,0.86,0.98,1.0069,0.000136828,0.000136828,0.000136828
29,12.0743,1.29732,0.86,0.98,0.95334,0.000131006,0.000131006,0.000131006
30,12.429,1.21134,0.88,0.98,0.91107,0.000125185,0.000125185,0.000125185
31,12.7879,1.17382,0.9,0.98,0.84641,0.000119364,0.000119364,0.000119364
32,13.1519,1.08157,0.88,0.98,0.75921,0.000113543,0.000113543,0.000113543
33,13.4888,1.02502,0.9,0.98,0.79552,0.000107722,0.000107722,0.000107722
34,13.8643,1.03561,0.9,0.98,0.74281,0.0001019,0.0001019,0.0001019
35,14.2372,1.00721,0.9,0.98,0.73843,9.60792e-05,9.60792e-05,9.60792e-05
36,14.5984,0.96456,0.9,0.98,0.67427,9.0258e-05,9.0258e-05,9.0258e-05
37,14.9633,0.86649,0.9,0.98,0.69102,8.44368e-05,8.44368e-05,8.44368e-05
38,15.3325,0.84816,0.92,0.98,0.70934,7.86156e-05,7.86156e-05,7.86156e-05
39,15.7185,0.79221,0.9,0.98,0.64691,7.27944e-05,7.27944e-05,7.27944e-05
40,16.1178,0.80167,0.94,0.98,0.62797,6.69732e-05,6.69732e-05,6.69732e-05
41,24.9611,0.78304,0.92,0.98,0.59466,6.1152e-05,6.1152e-05,6.1152e-05
42,25.3129,0.78565,0.92,0.98,0.66595,5.53308e-05,5.53308e-05,5.53308e-05
43,25.6807,0.78022,0.94,0.98,0.54594,4.95096e-05,4.95096e-05,4.95096e-05
44,26.0757,0.725,0.92,0.98,0.55416,4.36884e-05,4.36884e-05,4.36884e-05
45,26.4466,0.66859,0.92,0.98,0.55049,3.78672e-05,3.78672e-05,3.78672e-05
46,26.7951,0.79792,0.96,0.98,0.60277,3.2046e-05,3.2046e-05,3.2046e-05
47,27.1428,0.71056,0.94,0.98,0.54145,2.62248e-05,2.62248e-05,2.62248e-05
48,27.5085,0.73279,0.96,0.98,0.566,2.04036e-05,2.04036e-05,2.04036e-05
49,27.8652,0.76182,0.96,0.98,0.60014,1.45824e-05,1.45824e-05,1.45824e-05
50,28.2231,0.73723,0.96,0.98,0.59051,8.7612e-06,8.7612e-06,8.7612e-06
